1,3299,9
1,2319,9
1,2322,8
1,2331,10
1,2657,9
1,1950,8
1,3231,8
1,3019,8
1,3506,9
1,1876,8
1,2922,10
1,3750,9
1,3532,8
1,3775,8
1,3414,9
1,3733,8
1,2642,8
1,2631,9
1,2740,8
1,1988,7
1,2449,9
1,3618,8
1,3449,10
1,3283,9
1,3870,9
1,3146,9
1,3215,8
1,1894,8
1,3587,9
1,2615,10
1,3665,9
1,1927,8
1,2727,9
1,2632,8
1,2503,10
1,1858,6
1,3862,8
1,1977,6
1,2529,8
1,3953,8
1,3362,10
1,3661,8
1,2640,9
1,3212,10
1,3384,9
1,3856,10
1,2936,10
1,3722,10
1,3067,9
1,2237,8
0,2357,9
0,2298,10
0,1504,8
0,2107,6
0,2912,8
0,2229,8
0,2679,8
0,1847,7
0,1750,8
0,2325,8
0,2267,10
0,2210,8
0,2524,9
0,2021,7
0,2045,6
0,2643,9
0,2739,8
0,1686,7
0,1752,6
0,2439,9
0,1786,6
0,2574,9
0,2544,8
0,2241,9
0,2320,9
0,2242,10
0,2313,9
0,2845,9
0,2802,8
0,2074,7
0,1679,8
0,1508,8
0,2684,10
0,2101,6
0,1583,6
0,2642,9
0,1531,8
0,2947,10
0,1797,6
0,2210,10
0,1986,8
0,2933,9
0,1656,7
0,2150,8
0,2022,8
0,2972,9
0,2602,10
0,1586,7
0,1918,8
0,2966,8
